Class,Age,Day and Time,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Ballet/Tap,3 - 4 yrs,Tuesday 3:30 - 4:30,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Ballet/Tap,3 - 4 yrs,Wednesday 4:30 - 5:30,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Ballet/Tap,3 - 5 yrs,Saturday 9:30 - 10:30,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Ballet/Tap,4 - 5 yrs,Monday 3:30 - 4:30,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Ballet/Tap,4 - 5 yrs,Wednesday 5:30 - 6:30,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Ballet/Tap,4 - 5 yrs,Thursday 6:30 - 7:30 ,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Ballet/Tap,4 - 5 yrs,Friday 3:30 - 4:30,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballet/Tap,5 - 7 yrs,Monday 4:30 - 5:30,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballet/Tap,5 - 7 yrs,Tuesday 5:30 - 6:30,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballet/Tap,5 - 7 yrs,Thursday 4:30 - 5:30 ,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballet/Tap,5 - 7 yrs,Friday 4:30 - 5:30,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballet/Tap,5 - 7 yrs,Saturday 10:30 - 11:30,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jazz/Hip Hop,5 - 7 yrs,Wednesday 3:30 - 4:30,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jazz/Hip Hop,6 - 8 yrs,Monday 5:30 - 6:30,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jazz/Tap,6 - 8 yrs,Wednesday 6:30 - 7:30,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jazz/Tap,6 - 8 yrs,Thursday 5:30 - 6:30,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beginning Ballet,6 - 8 yrs,Tuesday 4:30 - 5:30,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beginning Ballet,6 - 8 yrs,Saturday 11:30 - 12:30,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beginning Ballet,7 - 10 yrs,Tuesday 5:30 - 6:30,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beginning Ballet,7 - 10 yrs,Friday 5:30 - 6:30,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballet IA,8 - 12 yrs,Wednesday 4:30 - 5:30,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballet IA,8 - 12 yrs,Saturday 9:30 - 10:30,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballet IA,10 - 14 yrs,Tuesday 7:30 - 8:30,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballet IA,Teen/Adult,Monday 8:30 - 9:30,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beginning Jazz,7 - 10 yrs,Thursday 3:30 - 4:30,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jazz IA,8 - 12 yrs,Wednesday 3:30 - 4:30,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jazz IA,8 - 12 yrs,Friday 6:30 - 7:30 ,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jazz IA,11 and up,Thursday 7:30 - 8:30,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beginning Tap,7 - 10 yrs,Tuesday 6:30 - 7:30,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tap IA,8 - 12 yrs,Friday 5:30 - 6:30,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tap IA,11 and up,Monday 7:30 - 8:30,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hip Hop ,7 - 10 yrs,Thursday 4:30 - 5:30,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boys Hip Hop,8 and up,Tuesday 5:45 - 6:30,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hip Hop,8 - 12 yrs,Monday 6:30 - 7:30,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hip Hop,11 and up,Thursday 3:30 - 4:30,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hip Hop IB/II,,Thursday 3:30 - 4:30,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hip Hop III,,Monday 9:00 - 9:30,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hip Hop,Adult,Tuesday 8:30 - 9:30 ,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tap,Adult,Wednesday 7:30 - 8:30,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pilates Reformer,Adult,Thursday 7:30 - 8:30,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zumba,Adult,Monday 8:30 - 9:30,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zumba,Teen/Adult,Saturday 9:30 - 10:30,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hip Hop Cardio Jam,Adult,Thursday 8:30 - 9:30,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beginning Pilates Reformer,,Tuesday 6:30 - 7:30,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intermediate Pilates Reformer,,Wednesday 5:45 - 6:45,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Pilates Reformer,,Saturday 8:30 - 9:30,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Modern/Contemporary IC/IIA,,Monday 4:30 - 5:30,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
